Time,data
1724193980.5436783,80.05381774902344
1724193980.5767326,160.10740661621094
1724193980.6098895,240.1611785888672
1724193980.645896,320.2149353027344
1724193980.678846,400.26861572265625
1724193980.7119577,480.3222961425781
1724193980.7460759,560.3759765625
1724193980.7790074,640.4296264648438
1724193980.8119457,720.4832763671875
1724193980.846239,800.536865234375
1724193980.8790836,880.59033203125
1724193980.914644,960.6439208984375
1724193980.9494407,1040.6973876953125
1724193980.9825368,1120.750732421875
1724193981.015757,1200.80419921875
1724193981.0493398,1280.857666015625
1724193981.0824177,1360.9111328125
1724193981.1158586,1440.9644775390625
1724193981.1501563,1521.017822265625
1724193981.182811,1601.0711669921875
1724193981.216144,1681.12451171875
1724193981.2499387,1761.1778564453125
1724193981.28307,1841.2310791015625
1724193981.3158991,1921.2843017578125
1724193981.35024,2001.33740234375
1724193981.3834589,2081.390380859375
1724193981.416633,2161.443603515625
1724193981.4503958,2241.49658203125
1724193981.4856923,2321.549560546875
1724193981.5199866,2401.6025390625
1724193981.5542169,2481.655517578125
1724193981.5874004,2561.70849609375
1724193981.6235895,2641.76123046875
1724193981.660753,2721.814208984375
1724193981.6943169,2801.866943359375
1724193981.7275684,2881.919677734375
1724193981.7614603,2961.972412109375
1724193981.7950857,3042.025146484375
1724193981.8287575,3122.07763671875
1724193981.863081,3202.13037109375
1724193981.8973074,3282.182861328125
1724193981.9305363,3362.2353515625
1724193981.9676921,3442.2880859375
1724193982.0028849,3522.34033203125
1724193982.038413,3602.39306640625
1724193982.0733154,3682.445556640625
1724193982.1072726,3762.498046875
1724193982.141752,3842.550537109375
1724193982.176656,3922.60302734375
1724193982.2104106,4002.6552734375
1724193982.2437873,4082.70751953125
1724193982.2778544,4162.759765625
1724193982.3137548,4242.81201171875
1724193982.3446517,4322.8642578125
1724193982.3797457,4402.9169921875
1724193982.4128888,4482.96875
1724193982.4462905,4563.02099609375
1724193982.4826345,4643.0732421875
1724193982.516809,4723.125
1724193982.5498123,4803.17724609375
1724193982.5840535,4883.2294921875
1724193982.6239872,4963.28125
1724193982.6576283,5043.33349609375
1724193982.6916022,5123.38525390625
1724193982.725209,5203.4375
1724193982.7578375,5283.4892578125
1724193982.7932508,5363.541015625
1724193982.8269053,5443.5927734375
1724193982.8607054,5523.64501953125
1724193982.8969285,5603.69677734375
1724193982.9302652,5683.74853515625
1724193982.9635408,5763.80029296875
1724193982.9988892,5843.85205078125
1724193983.036115,5923.9033203125
1724193983.0708323,6003.955078125
1724193983.1046119,6084.0068359375
1724193983.1392238,6164.05810546875
1724193983.1724324,6244.10986328125
1724193983.207638,6324.16162109375
1724193983.2400234,6404.212890625
1724193983.273876,6484.26416015625
1724193983.3092427,6564.31591796875
1724193983.3448455,6644.3671875
1724193983.3809936,6724.41845703125
1724193983.4152796,6804.47021484375
1724193983.4506643,6884.52099609375
1724193983.485401,6964.57275390625
1724193983.519603,7044.6240234375
1724193983.552804,7124.6748046875
1724193983.585971,7204.72607421875
1724193983.6198046,7284.77734375
1724193983.6529024,7364.82861328125
1724193983.68767,7444.87939453125
1724193983.7278776,7524.9306640625
1724193983.7633035,7604.9814453125
1724193983.797477,7685.03271484375
1724193983.831602,7765.08349609375
1724193983.8653119,7845.13427734375
1724193983.8984282,7925.185546875
1724193983.932697,8005.236328125
1724193983.966789,8085.287109375
1724193983.998691,8165.337890625
1724193984.0354085,8245.388671875
1724193984.0687423,8325.439453125
1724193984.1017694,8405.490234375
1724193984.1367052,8485.541015625
1724193984.1695945,8565.591796875
1724193984.2027378,8645.642578125
1724193984.2370172,8725.6923828125
1724193984.2697954,8805.7431640625
1724193984.3035188,8885.7939453125
1724193984.3377678,8965.8447265625
1724193984.371681,9045.89453125
1724193984.4047954,9125.9453125
1724193984.4385839,9205.99609375
1724193984.472793,9286.0458984375
1724193984.5059004,9366.0966796875
1724193984.545218,9446.146484375
1724193984.5787604,9526.197265625
1724193984.6124754,9606.2470703125
1724193984.6463199,9686.296875
1724193984.6802914,9766.34765625
1724193984.7152126,9846.3974609375
1724193984.7499027,9926.447265625
1724193984.7835853,10006.498046875
1724193984.8197155,10086.5478515625
1724193984.8535998,10166.59765625
1724193984.8866646,10246.6474609375
1724193984.9204364,10326.697265625
1724193984.9615138,10406.7470703125
1724193984.9951386,10486.796875
1724193985.028324,10566.84765625
1724193985.063696,10646.8974609375
1724193985.0967112,10726.9462890625
1724193985.1296897,10806.99609375
1724193985.1639311,10887.0458984375
1724193985.1971815,10967.095703125
1724193985.230267,11047.1455078125
1724193985.2684157,11127.1953125
1724193985.3052406,11207.244140625
1724193985.3407967,11287.2939453125
1724193985.3757014,11367.34375
1724193985.4102097,11447.3935546875
1724193985.4434369,11527.4423828125
1724193985.478275,11607.4921875
1724193985.5118957,11687.541015625
1724193985.544656,11767.5908203125
1724193985.5821395,11847.6396484375
1724193985.6158948,11927.689453125
1724193985.6498735,12007.73828125
1724193985.6851718,12087.787109375
1724193985.7187653,12167.8369140625
1724193985.751405,12247.8857421875
1724193985.7867265,12327.9345703125
1724193985.819734,12407.9833984375
1724193985.8528614,12488.033203125
1724193985.8866413,12568.08203125
1724193985.921759,12648.130859375
1724193985.9548054,12728.1796875
1724193985.9885876,12808.228515625
1724193986.0224173,12888.27734375
1724193986.0558188,12968.326171875
1724193986.0896397,13048.375
1724193986.1225584,13128.423828125
1724193986.1558821,13208.4716796875
1724193986.1986673,13288.5205078125
1724193986.2318854,13368.5693359375
1724193986.2662368,13448.6181640625
1724193986.3000104,13528.666015625
1724193986.3337965,13608.71484375
1724193986.3668308,13688.763671875
1724193986.4007592,13768.8115234375
1724193986.4342682,13848.8603515625
1724193986.4694662,13928.908203125
1724193986.503271,14008.95703125
1724193986.5410924,14089.0048828125
1724193986.574746,14169.0537109375
1724193986.6103578,14249.1015625
1724193986.6440103,14329.1494140625
1724193986.6787055,14409.1982421875
1724193986.7160554,14489.24609375
1724193986.749694,14569.2939453125
1724193986.7841098,14649.341796875
1724193986.8194904,14729.3896484375
1724193986.85257,14809.4375
1724193986.8858569,14889.4853515625
1724193986.9198956,14969.533203125
1724193986.952968,15049.5810546875
1724193986.985987,15129.62890625
1724193987.020295,15209.6767578125
1724193987.0537457,15289.724609375
1724193987.0875764,15369.7724609375
1724193987.123333,15449.814453125
1724193987.158079,15529.8427734375
1724193987.1910384,15609.8720703125
1724193987.2268226,15689.8974609375
1724193987.2601566,15769.923828125
1724193987.2933311,15849.9443359375
1724193987.327603,15929.970703125
1724193987.360461,16009.998046875
1724193987.3937829,16090.0205078125
1724193987.4279149,16170.0458984375
1724193987.4605806,16250.0849609375
1724193987.4938302,16330.1181640625
1724193987.5284681,16410.14453125
1724193987.5615587,16490.166015625
1724193987.5958261,16570.181640625
1724193987.6297874,16650.201171875
1724193987.6645324,16730.22265625
1724193987.6998615,16810.2421875
1724193987.7348044,16890.26171875
1724193987.7675438,16970.28125
1724193987.8033838,17050.302734375
1724193987.8379138,17130.322265625
1724193987.8705986,17210.345703125
1724193987.9038067,17290.38671875
1724193987.939074,17370.42578125
1724193987.972728,17450.458984375
1724193988.0058753,17530.490234375
1724193988.0412068,17610.513671875
1724193988.0749836,17690.53515625
1724193988.1080563,17770.556640625
1724193988.1424806,17850.580078125
1724193988.1764774,17930.611328125
1724193988.2105403,18010.63671875
1724193988.2464452,18090.658203125
1724193988.2796817,18170.703125
1724193988.3140104,18250.748046875
1724193988.349925,18330.787109375
1724193988.384312,18410.8046875
1724193988.4175658,18490.828125
1724193988.4548955,18570.84375
1724193988.4896433,18650.85546875
1724193988.5241926,18730.8671875
1724193988.5597656,18810.880859375
1724193988.5925333,18890.892578125
1724193988.6273205,18970.904296875
1724193988.661544,19050.916015625
1724193988.6958318,19130.92578125
1724193988.729739,19210.9375
1724193988.7696776,19290.94921875
1724193988.8020751,19370.9609375
1724193988.834651,19450.970703125
1724193988.8681896,19530.982421875
1724193988.9012163,19610.994140625
1724193988.933847,19691.00390625
