Time,base_link_contacts_data,goal_status_data,power_consumption_hip_data,power_consumption_total_data,power_consumption_wheel_data
1724189056.7641194,0.0,0.0,0.0,0.0,0.0
1724189056.7641354,0.0,0.0,0.0,0.0,0.0
1724189056.784314,0.0,0.0,0.0,0.0,0.0
1724189056.8045468,0.0,0.0,0.0,0.0,0.0
1724189056.824838,0.0,0.0,0.0,0.0,0.0
1724189058.0293145,0.0,0.0,0.0,0.0,0.0
1724189058.049395,0.0,0.0,0.0,0.0,0.0
1724189058.069562,0.0,0.0,0.0,0.0,0.0
1724189058.0896616,0.0,0.0,0.0,0.0,0.0
1724189058.1109447,0.0,0.0,0.0,0.0,0.0
1724189058.1308768,0.0,0.0,0.0,0.0,0.0
1724189058.1507852,0.0,0.0,0.0,0.0,0.0
1724189058.17074,0.0,0.0,0.0,0.0,0.0
1724189058.1908782,0.0,0.0,0.0,0.0,0.0
1724189058.2108576,0.0,0.0,0.0,0.0,0.0
1724189058.2307868,0.0,0.0,0.0,0.0,0.0
1724189058.25089,0.0,0.0,0.0,0.0,0.0
1724189058.27088,0.0,0.0,0.0,0.0,0.0
1724189058.2909472,0.0,0.0,0.0,0.0,0.0
1724189058.31081,0.0,0.0,0.0,0.0,0.0
1724189058.330774,0.0,0.0,0.0,0.0,0.0
1724189058.3507411,0.0,0.0,0.0,0.0,0.0
1724189058.3707616,0.0,0.0,0.0,0.0,0.0
1724189058.3908343,0.0,0.0,0.0,0.0,0.0
1724189058.410777,0.0,0.0,0.0,0.0,0.0
1724189058.4307373,0.0,0.0,0.0,0.0,0.0
1724189058.4508166,0.0,0.0,0.0,0.0,0.0
1724189058.470762,0.0,0.0,0.0,0.0,0.0
1724189058.490723,0.0,0.0,0.0,0.0,0.0
1724189058.5108054,0.0,0.0,0.0,0.0,0.0
1724189058.5131907,0.0,0.0,80.0537338256836,0.0,0.0
1724189058.5132098,0.0,0.0,80.0537338256836,0.0,0.0
1724189058.5132506,0.0,0.0,80.0537338256836,80.0537338256836,0.0
1724189058.530704,0.0,0.0,80.0537338256836,80.0537338256836,0.0
1724189058.5462692,0.0,0.0,80.0537338256836,80.0537338256836,0.0
1724189058.546275,0.0,0.0,80.0537338256836,160.10748291015625,0.0
1724189058.546282,0.0,0.0,160.10748291015625,160.10748291015625,0.0
1724189058.550672,0.0,0.0,160.10748291015625,160.10748291015625,0.0
1724189058.570698,0.0,0.0,160.10748291015625,160.10748291015625,0.0
1724189058.579832,0.0,0.0,160.10748291015625,160.10748291015625,0.0
1724189058.579841,0.0,0.0,160.10748291015625,240.16119384765625,0.0
1724189058.579853,0.0,0.0,240.16119384765625,240.16119384765625,0.0
1724189058.590814,0.0,0.0,240.16119384765625,240.16119384765625,0.0
1724189058.6108117,0.0,0.0,240.16119384765625,240.16119384765625,0.0
1724189058.6133506,0.0,0.0,320.2148742675781,240.16119384765625,0.0
1724189058.6133573,0.0,0.0,320.2148742675781,320.2148742675781,0.0
1724189058.6133575,0.0,0.0,320.2148742675781,320.2148742675781,0.0
1724189058.630854,0.0,0.0,320.2148742675781,320.2148742675781,0.0
1724189058.6459358,0.0,0.0,320.2148742675781,320.2148742675781,0.0
1724189058.645941,0.0,0.0,400.2685546875,320.2148742675781,0.0
1724189058.6459448,0.0,0.0,400.2685546875,400.2685546875,0.0
1724189058.6508071,0.0,0.0,400.2685546875,400.2685546875,0.0
1724189058.6708574,0.0,0.0,400.2685546875,400.2685546875,0.0
1724189058.6801825,0.0,0.0,400.2685546875,480.3221740722656,0.0
1724189058.6801834,0.0,0.0,480.3221740722656,480.3221740722656,0.0
1724189058.6801922,0.0,0.0,480.3221740722656,480.3221740722656,0.0
1724189058.6909502,0.0,0.0,480.3221740722656,480.3221740722656,0.0
1724189058.7108362,0.0,0.0,480.3221740722656,480.3221740722656,0.0
1724189058.7129552,0.0,0.0,480.3221740722656,560.375732421875,0.0
1724189058.7129598,0.0,0.0,560.375732421875,560.375732421875,0.0
1724189058.712967,0.0,0.0,560.375732421875,560.375732421875,0.0
1724189058.730806,0.0,0.0,560.375732421875,560.375732421875,0.0
1724189058.7460482,0.0,0.0,560.375732421875,560.375732421875,0.0
1724189058.7460485,0.0,0.0,560.375732421875,640.4293212890625,0.0
1724189058.7460563,0.0,0.0,640.4293212890625,640.4293212890625,0.0
1724189058.750901,0.0,0.0,640.4293212890625,640.4293212890625,0.0
1724189058.770931,0.0,0.0,640.4293212890625,640.4293212890625,0.0
1724189058.7803905,0.0,0.0,640.4293212890625,640.4293212890625,0.0
1724189058.7803984,0.0,0.0,640.4293212890625,720.48291015625,0.0
1724189058.780412,0.0,0.0,720.48291015625,720.48291015625,0.0
1724189058.792924,0.0,0.0,720.48291015625,720.48291015625,0.0
1724189058.813202,0.0,0.0,720.48291015625,720.48291015625,0.0
1724189058.8153584,0.0,0.0,720.48291015625,720.48291015625,0.0
1724189058.8153737,0.0,0.0,720.48291015625,800.536376953125,0.0
1724189058.8153813,0.0,0.0,800.536376953125,800.536376953125,0.0
1724189058.833481,0.0,0.0,800.536376953125,800.536376953125,0.0
1724189058.8486094,0.0,0.0,800.536376953125,800.536376953125,0.0
1724189058.8486164,0.0,0.0,880.58984375,800.536376953125,0.0
1724189058.8486173,0.0,0.0,880.58984375,880.58984375,0.0
1724189058.8546116,0.0,0.0,880.58984375,880.58984375,0.0
1724189058.8743558,0.0,0.0,880.58984375,880.58984375,0.0
1724189058.8837554,0.0,0.0,960.7286376953124,880.58984375,0.0
1724189058.8838065,0.0,0.0,960.7286376953124,960.7286376953124,0.0
