Time,data
1724193915.2647455,80.05381774902344
1724193915.2978535,160.10763549804688
1724193915.3316174,240.16140747070312
1724193915.3647141,320.2152099609375
1724193915.3977437,400.2689514160156
1724193915.4315195,480.3226623535156
1724193915.464504,560.3762817382812
1724193915.497698,640.429931640625
1724193915.5318341,720.4835815429688
1724193915.564851,800.5370483398438
1724193915.597794,880.5906372070312
1724193915.6314719,960.6442260742188
1724193915.664574,1040.69775390625
1724193915.6977165,1120.751220703125
1724193915.7327657,1200.8048095703125
1724193915.7656643,1280.8582763671875
1724193915.799516,1360.91162109375
1724193915.8332632,1440.965087890625
1724193915.8663375,1521.0184326171875
1724193915.8995156,1601.07177734375
1724193915.9337716,1681.1251220703125
1724193915.9664898,1761.1783447265625
1724193915.9995215,1841.231689453125
1724193916.0336852,1921.284912109375
1724193916.0668602,2001.3380126953125
1724193916.1048825,2081.391357421875
1724193916.1397684,2161.4443359375
1724193916.1731706,2241.49755859375
1724193916.2064273,2321.55078125
1724193916.241265,2401.603759765625
1724193916.2763996,2481.65673828125
1724193916.3097234,2561.709716796875
1724193916.3440742,2641.7626953125
1724193916.3773074,2721.8154296875
1724193916.4100697,2801.868408203125
1724193916.4442725,2881.921142578125
1724193916.4891582,2961.973876953125
1724193916.5229614,3042.02685546875
1724193916.5573528,3122.07958984375
1724193916.5931654,3202.132080078125
1724193916.6269848,3282.184814453125
1724193916.662,3362.237548828125
1724193916.6962736,3442.2900390625
1724193916.7323647,3522.342529296875
1724193916.766932,3602.39501953125
1724193916.800745,3682.447509765625
1724193916.834499,3762.5
1724193916.8689883,3842.552490234375
1724193916.9103754,3922.604736328125
1724193916.9481716,4002.6572265625
1724193916.9825554,4082.709716796875
1724193917.0153763,4162.76220703125
1724193917.0496767,4242.814453125
1724193917.0855145,4322.86669921875
1724193917.1230466,4402.9189453125
1724193917.1568232,4482.97119140625
1724193917.1911376,4563.0234375
1724193917.2265456,4643.0751953125
1724193917.2599332,4723.12744140625
1724193917.300227,4803.1796875
1724193917.333435,4883.2314453125
1724193917.3683708,4963.28369140625
1724193917.402661,5043.3359375
1724193917.436431,5123.3876953125
1724193917.4702528,5203.43994140625
1724193917.504174,5283.49169921875
1724193917.5396159,5363.54345703125
1724193917.5735703,5443.59521484375
1724193917.6084278,5523.6474609375
1724193917.64507,5603.69921875
1724193917.6796477,5683.7509765625
1724193917.7139266,5763.802734375
1724193917.7483184,5843.8544921875
1724193917.7832181,5923.90625
1724193917.8174028,6003.9580078125
1724193917.850607,6084.00927734375
1724193917.8837805,6164.06103515625
1724193917.917521,6244.11279296875
1724193917.9508977,6324.1640625
1724193917.985026,6404.2158203125
1724193918.0192752,6484.26708984375
1724193918.0559804,6564.318359375
1724193918.092579,6644.3701171875
1724193918.1264575,6724.42138671875
1724193918.1597533,6804.47265625
1724193918.1971085,6884.52392578125
1724193918.2313585,6964.57568359375
1724193918.2693217,7044.626953125
1724193918.3048966,7124.677734375
1724193918.3394415,7204.7294921875
1724193918.3734934,7284.78125
1724193918.4063761,7364.8193359375
1724193918.442367,7444.8525390625
1724193918.4811563,7524.8857421875
1724193918.5142307,7604.91015625
1724193918.5487454,7684.93310546875
