Time,data
1724193915.2647352,80.05381774902344
1724193915.2978463,160.10763549804688
1724193915.3316126,240.16140747070312
1724193915.3647048,320.2152099609375
1724193915.3977737,400.2689514160156
1724193915.4315689,480.3226623535156
1724193915.4646325,560.3762817382812
1724193915.497697,640.429931640625
1724193915.5318265,720.4835815429688
1724193915.564857,800.5370483398438
1724193915.597848,880.5906372070312
1724193915.6315064,960.6442260742188
1724193915.6645966,1040.69775390625
1724193915.6977625,1120.751220703125
1724193915.7327588,1200.8048095703125
1724193915.7656915,1280.8582763671875
1724193915.799492,1360.91162109375
1724193915.83324,1440.965087890625
1724193915.8663454,1521.0184326171875
1724193915.8995085,1601.07177734375
1724193915.9337904,1681.1251220703125
1724193915.9664958,1761.1783447265625
1724193915.999524,1841.231689453125
1724193916.033676,1921.284912109375
1724193916.0668578,2001.3380126953125
1724193916.1048765,2081.391357421875
1724193916.1397805,2161.4443359375
1724193916.1731815,2241.49755859375
1724193916.206435,2321.55078125
1724193916.24127,2401.603759765625
1724193916.2764397,2481.65673828125
1724193916.309735,2561.709716796875
1724193916.3440528,2645.1162109375
1724193916.3773015,2728.52783203125
1724193916.4100578,2811.939208984375
1724193916.4442697,2891.991943359375
1724193916.4891527,2972.044677734375
1724193916.5229626,3055.43603515625
1724193916.5573578,3135.48876953125
1724193916.5931714,3215.54150390625
1724193916.6270092,3295.593994140625
1724193916.6619864,3375.646728515625
1724193916.6962662,3455.69921875
1724193916.7323854,3535.751708984375
1724193916.7669156,3615.80419921875
1724193916.8007507,3695.856689453125
1724193916.8344934,3775.9091796875
1724193916.868998,3859.4794921875
1724193916.91037,3943.0498046875
1724193916.948167,4023.102294921875
1724193916.982613,4103.15478515625
1724193917.0153618,4186.74755859375
1724193917.0496817,4270.34033203125
1724193917.0855014,4353.697265625
1724193917.1230412,4437.0537109375
1724193917.1568232,4517.10595703125
1724193917.191144,4597.158203125
1724193917.2265525,4677.21044921875
1724193917.2599454,4757.26220703125
1724193917.300229,4837.314453125
1724193917.3334427,4917.36669921875
1724193917.368367,4997.41845703125
1724193917.402667,5077.470703125
1724193917.4364362,5157.5224609375
1724193917.4702473,5237.57470703125
1724193917.5041673,5317.62646484375
1724193917.5396166,5397.67822265625
1724193917.573562,5477.73046875
1724193917.608478,5557.7822265625
1724193917.6451035,5637.833984375
1724193917.6796706,5717.8857421875
1724193917.713919,5797.9375
1724193917.7483652,5877.9892578125
1724193917.7831862,5958.041015625
1724193917.8174171,6041.64599609375
1724193917.850583,6125.25048828125
1724193917.883803,6205.30224609375
1724193917.917544,6288.8076171875
1724193917.950903,6372.31298828125
1724193917.9850204,6452.3642578125
1724193918.0193043,6536.150390625
1724193918.0559976,6619.9365234375
1724193918.0926282,6699.98828125
1724193918.1265206,6783.322265625
1724193918.1597345,6866.7080078125
1724193918.1971748,6950.09375
1724193918.2314267,7030.1455078125
1724193918.269328,7110.19677734375
1724193918.3049464,7190.248046875
1724193918.3395164,7273.80126953125
1724193918.3735502,7357.35498046875
1724193918.4064744,7440.95556640625
1724193918.4424422,7526.60009765625
1724193918.4811566,7612.244140625
1724193918.5142932,7703.04541015625
1724193918.5488107,7794.0322265625
1724193918.5819187,7885.02099609375
1724193918.615678,7975.98583984375
1724193918.6499157,8067.18017578125
1724193918.6851473,8158.37890625
1724193918.7210922,8250.0703125
1724193918.7554245,8341.6533203125
1724193918.7924893,8430.703125
1724193918.830237,8519.767578125
1724193918.8645463,8599.8095703125
1724193918.900726,8679.8515625
1724193918.9343448,8763.5947265625
1724193918.9685018,8846.97265625
1724193919.0013237,8930.3505859375
1724193919.0353904,9013.92578125
1724193919.0695865,9097.5498046875
1724193919.103199,9181.1650390625
1724193919.1370895,9265.0146484375
1724193919.1712246,9350.80078125
1724193919.2077522,9436.5908203125
1724193919.2422016,9527.2626953125
1724193919.2806585,9617.931640625
1724193919.3138623,9709.4765625
1724193919.3487828,9801.0224609375
1724193919.3828552,9892.279296875
1724193919.4179587,9983.53515625
1724193919.4512186,10075.2509765625
1724193919.485614,10166.11328125
1724193919.5199602,10256.9697265625
1724193919.555532,10348.517578125
1724193919.589841,10439.7451171875
1724193919.626341,10530.970703125
1724193919.6592956,10620.537109375
1724193919.6935184,10704.4912109375
1724193919.7294676,10787.8076171875
1724193919.7632945,10871.125
1724193919.7973528,10951.140625
1724193919.8305926,11031.1572265625
1724193919.865563,11111.1728515625
1724193919.90092,11194.650390625
1724193919.9348419,11278.126953125
1724193919.9701524,11358.142578125
1724193920.004454,11438.158203125
1724193920.0376797,11518.1728515625
1724193920.0711188,11598.1875
1724193920.1053307,11681.5185546875
1724193920.1385734,11764.84765625
1724193920.1717947,11844.86328125
1724193920.2059367,11924.8779296875
1724193920.2391999,12004.892578125
1724193920.272469,12084.908203125
1724193920.3066032,12168.220703125
1724193920.3404946,12251.533203125
1724193920.374143,12335.060546875
1724193920.4083288,12418.6748046875
1724193920.4420567,12502.296875
1724193920.475882,12588.8076171875
1724193920.5098622,12679.1904296875
1724193920.5429156,12768.947265625
1724193920.5795717,12858.701171875
1724193920.6138692,12948.9228515625
1724193920.6513183,13039.140625
1724193920.6849594,13129.0263671875
1724193920.7200463,13218.9033203125
1724193920.7533886,13308.4130859375
1724193920.7901254,13397.921875
1724193920.8243744,13489.421875
1724193920.8582783,13580.9248046875
1724193920.8993459,13671.5498046875
1724193920.934129,13762.65625
1724193920.9707599,13853.759765625
1724193921.0047555,13944.46875
1724193921.0393856,14034.228515625
1724193921.072459,14123.9990234375
1724193921.1058822,14214.986328125
1724193921.1403534,14305.8330078125
1724193921.173414,14396.6796875
1724193921.2062783,14488.845703125
1724193921.240439,14581.0087890625
