Time,data
1724194277.9152954,80.06183624267578
1724194277.9484715,160.12130737304688
1724194277.9822285,240.1791534423828
1724194278.0154073,320.2347717285156
1724194278.0485823,400.2889709472656
1724194278.0823228,480.3427734375
1724194278.11528,560.396484375
1724194278.148462,640.4501342773438
1724194278.1822875,720.5037841796875
1724194278.2154646,800.5573120117188
1724194278.2485962,880.6109008789062
1724194278.2824378,960.6644287109375
1724194278.31583,1040.7178955078125
1724194278.3484318,1120.7713623046875
1724194278.3826401,1200.8248291015625
1724194278.4163232,1280.878173828125
1724194278.4502285,1360.931640625
1724194278.4882624,1440.9849853515625
1724194278.5264447,1521.0380859375
1724194278.560888,1601.0914306640625
1724194278.595003,1681.144775390625
1724194278.6273031,1761.197998046875
1724194278.6607072,1841.2513427734375
1724194278.6940243,1921.3045654296875
1724194278.7274482,2001.3577880859375
1724194278.7602773,2081.410888671875
1724194278.794104,2161.464111328125
1724194278.82912,2241.51708984375
1724194278.8606641,2321.5703125
1724194278.8951676,2405.18701171875
1724194278.9293885,2488.803466796875
1724194278.9647098,2572.419921875
1724194279.0004828,2652.472900390625
1724194279.0370202,2732.52587890625
1724194279.070319,2812.57861328125
1724194279.1045763,2892.631591796875
1724194279.1379318,2972.684326171875
1724194279.1720648,3052.737060546875
1724194279.2057297,3136.202880859375
1724194279.238382,3219.66845703125
1724194279.2734153,3303.13427734375
1724194279.308696,3383.186767578125
1724194279.3435078,3463.239501953125
1724194279.3747172,3543.2919921875
1724194279.4169312,3623.344482421875
1724194279.4505117,3703.39697265625
1724194279.4826205,3783.449462890625
1724194279.5176518,3863.501953125
1724194279.5508335,3943.55419921875
1724194279.5843482,4023.606689453125
1724194279.6187792,4106.9462890625
1724194279.6521158,4190.41943359375
1724194279.6854281,4273.892578125
1724194279.7191162,4357.41259765625
1724194279.752405,4437.46484375
1724194279.7876084,4517.51708984375
1724194279.8194659,4601.4228515625
1724194279.8532145,4681.47509765625
1724194279.8863616,4761.52734375
1724194279.919297,4844.86669921875
1724194279.9535658,4928.2060546875
1724194279.9877868,5008.2578125
1724194280.0240688,5088.31005859375
1724194280.0560555,5168.36181640625
1724194280.0900095,5248.4140625
1724194280.1282585,5332.11474609375
1724194280.1606877,5415.8154296875
1724194280.1939511,5499.40380859375
1724194280.2281506,5579.4560546875
1724194280.2614386,5659.5078125
1724194280.294329,5742.859375
1724194280.3348224,5826.6240234375
1724194280.375606,5910.38818359375
1724194280.4122422,5993.79833984375
1724194280.4447901,6077.92529296875
1724194280.4777808,6162.052734375
1724194280.5103014,6245.42333984375
1724194280.5443282,6329.140625
1724194280.577357,6409.19189453125
1724194280.6102624,6489.24365234375
1724194280.6440687,6569.294921875
1724194280.677336,6649.34619140625
1724194280.7102833,6729.39794921875
1724194280.7458308,6813.01220703125
1724194280.7806983,6896.62646484375
1724194280.8165162,6976.67822265625
1724194280.8526583,7056.7294921875
1724194280.8871894,7140.10498046875
1724194280.9215808,7223.47998046875
1724194280.9570248,7303.52392578125
1724194280.9901876,7383.55908203125
1724194281.0263054,7472.42626953125
1724194281.0605657,7563.1240234375
1724194281.0939138,7653.8193359375
1724194281.1276174,7744.51171875
1724194281.1604874,7834.32763671875
1724194281.1945968,7924.140625
1724194281.229271,8015.4560546875
1724194281.2631898,8106.6044921875
1724194281.2968116,8197.7568359375
1724194281.3308277,8289.185546875
1724194281.3672757,8381.9794921875
1724194281.4026666,8474.759765625
1724194281.4373586,8566.0380859375
1724194281.471995,8650.8984375
1724194281.5055006,8735.7578125
1724194281.5393476,8819.4794921875
1724194281.5737772,8903.36328125
1724194281.6067662,8987.2470703125
1724194281.6426644,9071.130859375
1724194281.6781623,9154.5478515625
1724194281.7213557,9237.96484375
1724194281.7527523,9321.5478515625
1724194281.7870343,9404.9873046875
1724194281.8207073,9488.42578125
1724194281.854866,9571.8681640625
1724194281.8882666,9655.5771484375
1724194281.922241,9739.2861328125
1724194281.954787,9823.013671875
1724194281.9886453,9907.080078125
1724194282.0233877,9991.1455078125
1724194282.0555606,10079.6552734375
1724194282.0918713,10170.609375
1724194282.12452,10261.556640625
1724194282.1597204,10353.08203125
1724194282.197423,10444.966796875
1724194282.232648,10536.84375
1724194282.2650409,10628.4560546875
1724194282.3007746,10718.673828125
1724194282.3341312,10808.8984375
1724194282.3690953,10900.7255859375
1724194282.404574,10991.1474609375
1724194282.4373276,11081.5888671875
1724194282.4707005,11173.333984375
1724194282.5055313,11264.7333984375
1724194282.539704,11356.1201171875
1724194282.5751321,11447.4453125
1724194282.6093671,11535.0751953125
1724194282.6458771,11622.7041015625
1724194282.6822603,11702.7216796875
