Time,/speed_norm_angular/data,/speed_norm_linear/data
168.931,0.0846815481781959,0.2180914580821991
168.951,0.0846815481781959,0.2180914580821991
168.971,0.1275214999914169,0.2205721884965896
168.99,0.1471141427755355,1.06889009475708
169.011,0.1471141427755355,1.06889009475708
169.03,0.1474760621786117,0.2396154701709747
169.052,0.1474760621786117,0.2396154701709747
169.071,0.1474760621786117,0.2396154701709747
169.091,0.1474760621786117,0.2396154701709747
169.111,0.106625773012638,0.2296813875436782
169.131,0.1344401538372039,0.2879538238048553
169.151,0.1344401538372039,0.2879538238048553
169.171,0.1344401538372039,0.2879538238048553
169.191,0.1344401538372039,0.2879538238048553
169.211,0.1859030872583389,0.2092165946960449
169.231,0.1859030872583389,0.2092165946960449
169.253,0.1859030872583389,0.2092165946960449
169.271,0.1859030872583389,0.2092165946960449
169.291,0.1859030872583389,0.2092165946960449
169.311,0.1859030872583389,0.2092165946960449
169.331,0.0898240432143211,0.2558426558971405
169.35,0.0898240432143211,0.2558426558971405
169.371,0.0853964760899543,0.3161586821079254
169.39,0.0853964760899543,0.3161586821079254
169.411,0.1169119402766227,0.2368341386318206
169.431,0.1169119402766227,0.2368341386318206
169.451,0.1406192630529403,0.2500257790088653
169.471,0.1406192630529403,0.2500257790088653
169.491,0.1406192630529403,0.2500257790088653
169.51,0.0787205174565315,0.2376736998558044
169.53,0.0787205174565315,0.2376736998558044
169.55,0.1714652776718139,0.2874381840229034
169.57,0.1714652776718139,0.2874381840229034
169.59,0.1714652776718139,0.2874381840229034
169.611,0.1528838574886322,0.2186508327722549
169.631,0.2082094550132751,0.3748139441013336
169.651,0.2082094550132751,0.3748139441013336
169.671,0.2082094550132751,0.3748139441013336
169.691,0.2082094550132751,0.3748139441013336
169.711,0.188675582408905,0.272316426038742
169.731,0.188675582408905,0.272316426038742
169.751,0.1269847303628921,0.2793436050415039
169.77,0.1269847303628921,0.2793436050415039
169.791,0.1269847303628921,0.2793436050415039
169.81,0.1269847303628921,0.2793436050415039
169.831,0.1255440413951873,0.226065382361412
169.85,0.1255440413951873,0.226065382361412
169.87,0.1255440413951873,0.226065382361412
169.891,0.1255440413951873,0.226065382361412
169.911,0.1622594743967056,0.2582515478134155
169.931,0.1622594743967056,0.2582515478134155
169.95,0.1622594743967056,0.2582515478134155
169.969,0.1622594743967056,0.2582515478134155
169.99,0.1090708300471305,0.2421788424253463
170.011,0.1090708300471305,0.2421788424253463
170.031,0.1090708300471305,0.2421788424253463
170.051,0.1128218919038772,0.2878413498401642
170.071,0.1128218919038772,0.2878413498401642
170.091,0.1128218919038772,0.2878413498401642
170.111,0.1421459019184112,0.2110758125782013
170.131,0.1215335950255394,0.2678426206111908
170.152,0.1215335950255394,0.2678426206111908
170.171,0.1215335950255394,0.2678426206111908
170.191,0.1215335950255394,0.2678426206111908
170.211,0.1215335950255394,0.2678426206111908
170.231,0.1076420620083808,0.2609418332576751
170.251,0.1076420620083808,0.2609418332576751
