Time,base_link_contacts_data,power_consumption_hip_data,power_consumption_total_data,power_consumption_wheel_data
0.0,0.0,0.0,0.0,0.0
1.0251998901367188e-05,0.0,0.0,0.0,0.0
0.003107786178588867,0.0,80.01953125,0.0,0.0
0.0031278133392333984,0.0,80.01953125,0.0,12.14794921875
0.003170490264892578,0.0,80.01953125,92.166015625,12.14794921875
0.020126819610595703,0.0,80.01953125,92.166015625,12.14794921875
0.02013373374938965,0.0,80.01953125,92.166015625,12.14794921875
0.03639841079711914,0.0,160.05078125,92.166015625,12.14794921875
0.03640913963317871,0.0,160.05078125,184.345703125,12.14794921875
0.03641343116760254,0.0,160.05078125,184.345703125,24.2958984375
0.04035353660583496,0.0,160.05078125,184.345703125,24.2958984375
0.041512250900268555,0.0,160.05078125,184.345703125,24.2958984375
0.06051158905029297,0.0,160.05078125,184.345703125,24.2958984375
0.060553550720214844,0.0,160.05078125,184.345703125,24.2958984375
0.07175469398498535,0.0,160.05078125,274.783203125,24.2958984375
0.07176041603088379,0.0,160.05078125,274.783203125,34.7073974609375
0.0717618465423584,0.0,240.076171875,274.783203125,34.7073974609375
0.08145904541015625,0.0,240.076171875,274.783203125,34.7073974609375
0.0815117359161377,0.0,240.076171875,274.783203125,34.7073974609375
0.10153746604919434,0.0,240.076171875,274.783203125,34.7073974609375
0.10154151916503906,0.0,240.076171875,274.783203125,34.7073974609375
0.10498309135437012,0.0,240.076171875,274.783203125,45.118896484375
0.10499000549316406,0.0,240.076171875,365.232421875,45.118896484375
0.10499954223632812,0.0,320.11328125,365.232421875,45.118896484375
0.1217339038848877,0.0,320.11328125,365.232421875,45.118896484375
0.12178373336791992,0.0,320.11328125,365.232421875,45.118896484375
0.138322114944458,0.0,320.11328125,457.66796875,45.118896484375
0.1383342742919922,0.0,400.146484375,457.66796875,45.118896484375
0.1383347511291504,0.0,400.146484375,457.66796875,57.5228271484375
0.14174389839172363,0.0,400.146484375,457.66796875,57.5228271484375
0.14174890518188477,0.0,400.146484375,457.66796875,57.5228271484375
0.16221356391906738,0.0,400.146484375,457.66796875,57.5228271484375
0.16225910186767578,0.0,400.146484375,457.66796875,57.5228271484375
0.17258238792419434,0.0,480.173828125,457.66796875,57.5228271484375
0.1725938320159912,0.0,480.173828125,550.099609375,57.5228271484375
0.1726057529449463,0.0,480.173828125,550.099609375,69.9267578125
0.18230032920837402,0.0,480.173828125,550.099609375,69.9267578125
0.18233799934387207,0.0,480.173828125,550.099609375,69.9267578125
0.20584321022033691,0.0,480.173828125,550.099609375,69.9267578125
0.20586919784545898,0.0,480.173828125,550.099609375,69.9267578125
0.20964813232421875,0.0,480.173828125,639.966796875,69.9267578125
0.20966410636901855,0.0,560.1953125,639.966796875,69.9267578125
0.20968198776245117,0.0,560.1953125,639.966796875,79.773193359375
0.2273547649383545,0.0,560.1953125,639.966796875,79.773193359375
0.22738027572631836,0.0,560.1953125,639.966796875,79.773193359375
0.24370431900024414,0.0,560.1953125,730.333984375,79.773193359375
0.2437121868133545,0.0,640.2109375,730.333984375,79.773193359375
0.24371552467346191,0.0,640.2109375,730.333984375,90.1240234375
0.2476193904876709,0.0,640.2109375,730.333984375,90.1240234375
0.24767732620239258,0.0,640.2109375,730.333984375,90.1240234375
0.2681608200073242,0.0,640.2109375,730.333984375,90.1240234375
0.2681705951690674,0.0,640.2109375,730.333984375,90.1240234375
0.2779083251953125,0.0,640.2109375,820.708984375,90.1240234375
0.27791333198547363,0.0,720.234375,820.708984375,90.1240234375
0.27793312072753906,0.0,720.234375,820.708984375,100.4749755859375
0.287914514541626,0.0,720.234375,820.708984375,100.4749755859375
0.28792285919189453,0.0,720.234375,820.708984375,100.4749755859375
0.30813169479370117,0.0,720.234375,820.708984375,100.4749755859375
0.3081533908843994,0.0,720.234375,820.708984375,100.4749755859375
0.311354398727417,0.0,720.234375,820.708984375,110.126953125
0.3113713264465332,0.0,720.234375,910.38671875,110.126953125
0.3113865852355957,0.0,800.259765625,910.38671875,110.126953125
0.32808780670166016,0.0,800.259765625,910.38671875,110.126953125
0.3280975818634033,0.0,800.259765625,910.38671875,110.126953125
0.34461259841918945,0.0,880.279296875,910.38671875,110.126953125
0.3446180820465088,0.0,880.279296875,910.38671875,120.498291015625
0.3446223735809326,0.0,880.279296875,1000.77734375,120.498291015625
0.3480961322784424,0.0,880.279296875,1000.77734375,120.498291015625
0.3481333255767822,0.0,880.279296875,1000.77734375,120.498291015625
0.36842966079711914,0.0,880.279296875,1000.77734375,120.498291015625
0.36849141120910645,0.0,880.279296875,1000.77734375,120.498291015625
0.37856435775756836,0.0,960.30859375,1000.77734375,120.498291015625
0.37859368324279785,0.0,960.30859375,1091.177734375,120.498291015625
0.3786149024963379,0.0,960.30859375,1091.177734375,130.8695068359375
0.388171911239624,0.0,960.30859375,1091.177734375,130.8695068359375
0.38822460174560547,0.0,960.30859375,1091.177734375,130.8695068359375
0.410506010055542,0.0,960.30859375,1091.177734375,130.8695068359375
0.41052746772766113,0.0,960.30859375,1091.177734375,130.8695068359375
0.41381025314331055,0.0,1040.34765625,1091.177734375,130.8695068359375
0.4138364791870117,0.0,1040.34765625,1181.0546875,130.8695068359375
0.41384029388427734,0.0,1040.34765625,1181.0546875,140.70849609375
0.4306471347808838,0.0,1040.34765625,1181.0546875,140.70849609375
0.43065690994262695,0.0,1040.34765625,1181.0546875,140.70849609375
0.4468679428100586,0.0,1040.34765625,1272.001953125,140.70849609375
0.44687318801879883,0.0,1040.34765625,1272.001953125,151.62451171875
