Time,base_link_contacts_data,goal_status_data,power_consumption_hip_data,power_consumption_total_data,power_consumption_wheel_data
1724194057.8981783,0.0,0.0,0.0,0.0,0.0
1724194057.8982232,0.0,0.0,0.0,0.0,0.0
1724194057.9182837,0.0,0.0,0.0,0.0,0.0
1724194057.938244,0.0,0.0,0.0,0.0,0.0
1724194057.9582405,0.0,0.0,0.0,0.0,0.0
1724194057.978386,0.0,0.0,0.0,0.0,0.0
1724194057.9983754,0.0,0.0,0.0,0.0,0.0
1724194058.0184362,0.0,0.0,0.0,0.0,0.0
1724194058.038726,0.0,0.0,0.0,0.0,0.0
1724194058.0587585,0.0,0.0,0.0,0.0,0.0
1724194058.0797768,0.0,0.0,0.0,0.0,0.0
1724194058.099642,0.0,0.0,0.0,0.0,0.0
1724194058.120055,0.0,0.0,0.0,0.0,0.0
1724194058.1401408,0.0,0.0,0.0,0.0,0.0
1724194058.143414,0.0,0.0,0.0,80.06172180175781,0.0
1724194058.1434157,0.0,0.0,80.06172180175781,80.06172180175781,0.0
1724194058.1434293,0.0,0.0,80.06172180175781,80.06172180175781,0.0
1724194058.1601417,0.0,0.0,80.06172180175781,80.06172180175781,0.0
1724194058.1762416,0.0,0.0,160.12205505371094,80.06172180175781,0.0
1724194058.1762464,0.0,0.0,160.12205505371094,80.06172180175781,0.0
1724194058.1762538,0.0,0.0,160.12205505371094,160.12205505371094,0.0
1724194058.1801505,0.0,0.0,160.12205505371094,160.12205505371094,0.0
1724194058.2001226,0.0,0.0,160.12205505371094,160.12205505371094,0.0
1724194058.2103984,0.0,0.0,240.18096923828125,160.12205505371094,0.0
1724194058.2104166,0.0,0.0,240.18096923828125,240.18096923828125,0.0
1724194058.2104173,0.0,0.0,240.18096923828125,240.18096923828125,0.0
1724194058.220133,0.0,0.0,240.18096923828125,240.18096923828125,0.0
1724194058.2401657,0.0,0.0,240.18096923828125,240.18096923828125,0.0
1724194058.2432375,0.0,0.0,240.18096923828125,320.2389221191406,0.0
1724194058.2432396,0.0,0.0,320.2389221191406,320.2389221191406,0.0
1724194058.2601614,0.0,0.0,320.2389221191406,320.2389221191406,0.0
1724194058.2764337,0.0,0.0,400.294921875,320.2389221191406,0.0
1724194058.2764382,0.0,0.0,400.294921875,400.294921875,0.0
1724194058.27644,0.0,0.0,400.294921875,400.294921875,0.0
1724194058.280282,0.0,0.0,400.294921875,400.294921875,0.0
1724194058.3002036,0.0,0.0,400.294921875,400.294921875,0.0
1724194058.3106625,0.0,0.0,400.294921875,400.294921875,0.0
1724194058.3106673,0.0,0.0,400.294921875,480.3490905761719,0.0
1724194058.3106682,0.0,0.0,480.3490905761719,480.3490905761719,0.0
1724194058.3201685,0.0,0.0,480.3490905761719,480.3490905761719,0.0
1724194058.340127,0.0,0.0,480.3490905761719,480.3490905761719,0.0
1724194058.3432963,0.0,0.0,480.3490905761719,560.40283203125,0.0
1724194058.343302,0.0,0.0,480.3490905761719,560.40283203125,0.0
1724194058.343312,0.0,0.0,560.40283203125,560.40283203125,0.0
1724194058.3601968,0.0,0.0,560.40283203125,560.40283203125,0.0
1724194058.3763378,0.0,0.0,640.4566040039062,560.40283203125,0.0
1724194058.376342,0.0,0.0,640.4566040039062,640.4566040039062,0.0
1724194058.376345,0.0,0.0,640.4566040039062,640.4566040039062,0.0
1724194058.3802242,0.0,0.0,640.4566040039062,640.4566040039062,0.0
1724194058.400274,0.0,0.0,640.4566040039062,640.4566040039062,0.0
1724194058.410668,0.0,0.0,640.4566040039062,640.4566040039062,0.0
1724194058.4106712,0.0,0.0,640.4566040039062,720.5104370117188,0.0
1724194058.410672,0.0,0.0,720.5104370117188,720.5104370117188,0.0
1724194058.4202845,0.0,0.0,720.5104370117188,720.5104370117188,0.0
1724194058.4402993,0.0,0.0,720.5104370117188,720.5104370117188,0.0
1724194058.4433482,0.0,0.0,720.5104370117188,800.564208984375,0.0
1724194058.4433525,0.0,0.0,720.5104370117188,800.564208984375,0.0
1724194058.4433546,0.0,0.0,800.564208984375,800.564208984375,0.0
1724194058.4603658,0.0,0.0,800.564208984375,800.564208984375,0.0
1724194058.4764242,0.0,0.0,880.617919921875,800.564208984375,0.0
1724194058.4764311,0.0,0.0,880.617919921875,880.617919921875,0.0
1724194058.4764316,0.0,0.0,880.617919921875,880.617919921875,0.0
1724194058.4803543,0.0,0.0,880.617919921875,880.617919921875,0.0
1724194058.5002873,0.0,0.0,880.617919921875,880.617919921875,0.0
1724194058.5105214,0.0,0.0,880.617919921875,880.617919921875,0.0
1724194058.51053,0.0,0.0,880.617919921875,960.6715698242188,0.0
1724194058.5105412,0.0,0.0,960.6715698242188,960.6715698242188,0.0
1724194058.5203135,0.0,0.0,960.6715698242188,960.6715698242188,0.0
1724194058.5403504,0.0,0.0,960.6715698242188,960.6715698242188,0.0
1724194058.543707,0.0,0.0,1040.725341796875,960.6715698242188,0.0
1724194058.5437112,0.0,0.0,1040.725341796875,1040.725341796875,0.0
1724194058.5437174,0.0,0.0,1040.725341796875,1040.725341796875,0.0
1724194058.5602684,0.0,0.0,1040.725341796875,1040.725341796875,0.0
1724194058.5763085,0.0,0.0,1120.779052734375,1040.725341796875,0.0
1724194058.576315,0.0,0.0,1120.779052734375,1120.779052734375,0.0
1724194058.5763197,0.0,0.0,1120.779052734375,1120.779052734375,0.0
1724194058.5803068,0.0,0.0,1120.779052734375,1120.779052734375,0.0
1724194058.6003134,0.0,0.0,1120.779052734375,1120.779052734375,0.0
1724194058.610578,0.0,0.0,1200.8326416015625,1120.779052734375,0.0
